category,name
bash,alias
bash,bg
bash,bind
bash,break
bash,builtin
bash,caller
bash,cd
bash,command
bash,compgen
bash,complete
bash,compopt
bash,continue
bash,declare
bash,dirs
bash,disown
bash,echo
bash,enable
bash,eval
bash,exec
bash,exit
bash,export
bash,false
bash,fc
bash,fg
bash,getopts
bash,hash
bash,help
bash,history
bash,jobs
bash,kill
bash,let
bash,local
bash,logout
bash,mapfile
bash,popd
bash,printf
bash,pushd
bash,pwd
bash,read
bash,readarray
bash,readonly
bash,return
bash,set
bash,shift
bash,shopt
bash,source
bash,suspend
bash,test
bash,times
bash,trap
bash,true
bash,type
bash,typeset
bash,ulimit
bash,umask
bash,unalias
bash,unset
bash,wait
